motif_id,name_en,name_en_google,name_ru,description_en,description_en_google,description_ru,has_berezkin_english,pc_class,pc_subtype,pc_confidence,pc_reason,pc_engine
a1,The old sun,Ancient sun,Древнее солнце,"Another sun, usually less benevolent and/or powerful, existed before the present one",Another sun — usually less powerful or less benign to humans — existed before the present,Другое солнце – обычно менее могущественное или менее благорасположенное к людям - существовало до появления нынешнего,True,MENTION,,1.0,No celestial or landscape feature is centrally involved in this motif of a previous sun.,ollama-hermes3:8b
a10,The sun finds its eyes,The sun finds its eyes,Солнце находит себе глаза,The sun gets his bright eye or eyes from an animal,The sun gets its sparkling eyes (eyes) from the animal,Солнце получает свои сверкающие глаза (глаз) от животного,True,METAMORPHOSIS,,1.0,"The motif describes the sun acquiring eyes from an animal, which is a transformation rather than perception of a figure in nature.",ollama-hermes3:8b
a11a,Eyes of the Sun and the Moon: coolness and night,Eyes of the luminaries: coolness and night,Глаза светил: прохлада и ночь,"Visible sun and/or moon are the Sun's and/or the Moon's eyes. If these eyes were not injured, light and heat would be more intense","The visible sun or moon is their eyes; if the eyes of the luminaries had not been damaged, it would be much lighter and hotter","Видимое солнце или луна есть их глаза; если бы глаза светил не были повреждены, было бы гораздо светлее и жарче",True,PERCEPTION,celestial,0.9,"The motif describes perceiving a face-like pattern in the sun and moon, which is classic pareidolia.",ollama-hermes3:8b
a11b,One-eyed luminaries,One-eyed luminaries,Одноглазые светила,The Sun or the Moon have only one eye (the Mundurucu: they are blind),Sun or Month odnoglaz (Munduruku: blind),Солнце или Месяц одноглаз (мундуруку: слеп),True,PERCEPTION,celestial,0.9,"The motif describes perceiving a single eye-like feature in the Sun or Moon, which is classic pareidolia.",ollama-hermes3:8b
a11c,"The Sun, the Moon and monster’s eyes","Sun, moon and monster eyes","Солнце, Луна и глаза чудовища",The Sun and the Moon kill a monster whose eyes are unequally bright. The Moon takes the brighter eye but gives it back to the Sun,"The sun and the moon kill a monster whose eyes shine differently. First, the Moon takes a brighter eye, but then changes with the Sun.","Солнце и Луна убивают чудовище, чьи глаза светят по-разному. Сперва Луна берет более яркий глаз, но затем меняется с Солнцем",True,PERCEPTION,celestial,0.9,"The description of 'unequally bright' eyes suggests the motif involves perceiving figures in a natural feature, specifically stars or celestial objects.",ollama-hermes3:8b
a12,Eclipses: a monster’s attack,Eclipses: Monster Attack,Затмения: нападение чудовищ,"Some creature or creatures regularly (sunrise and sunset, summer and winter, lunar phases) or irregularly (solar and lunar eclipses, eschatological events) attack the luminaries or shade their light","A certain creature or creatures regularly (sunrise and sunset, winter and summer, night and day, moon phases) or occasionally (eclipses, eschatological disasters) attack the luminaries or block their light.","Некое существо или существа регулярно (восход и заход, зима и лето, ночь и день, фазы луны) или изредка (затмения, эсхатологические катастрофы) нападают на светила или же загораживают их свет",True,PERCEPTION,celestial,0.9,"The motif describes perceiving figures in natural celestial phenomena like sun, moon and stars being attacked by monsters.",ollama-hermes3:8b
a12a,Eclipses: a predator animal,Predatory beast overshadows the lights,Хищный зверь затмевает светила,"During an eclipse or at the sunset the Sun or the Moon are attacked by a predator animal (a bear, a feline, a canine, a racoon)","During an eclipse or during an approach to the luminaries, predators attack: bear, jaguar, puma, dog, fox, raccoon","Во время затмения или во время захода на светила нападают хищники: медведь, ягуар, пума, пес, лисица, енот",True,PERCEPTION,celestial,0.9,"The motif describes perceiving figures of predator animals attacking the sun or moon during an eclipse, which is true pareidolia.",ollama-hermes3:8b
a12b,Eclipses: a frog or toad,The frog swallows the luminaries.,Лягушка проглатывает светила,During an eclipse or at the sunset the Sun or the Moon are attacked by a frog or toad,During an eclipse or at sunset (marked *) the frog swallows the light,Во время затмения или на закате (отмечено*) cветила проглатывает лягушка,True,PERCEPTION,celestial,0.8,The motif describes perceiving a figure (a frog/toad) in the natural feature of the sun or moon during an eclipse.,ollama-hermes3:8b
a12c,Eclipses: reptiles and fish,Reptile or fish dwarf luminaries,Рептилия или рыба затмевают светила,"During an eclipse or at the sunset the Sun or the Moon are attacked by a reptile (a snake, a lizard, a dragon, a crocodile) or a fish","Eclipses of the sun, moon, or their setting (marked *) are caused by a snake, lizard, dragon, fish, crocodile; these creatures are attacking the luminaries now or attacking at the beginning of time","Затмения солнца, луны или их заход (отмечено*) вызваны змеей, ящерицей, драконом, рыбой, крокодилом; эти существа нападают на светила сейчас или нападали в начале времен",True,PERCEPTION,celestial,0.9,"The motif describes perceiving figures of reptiles and fish attacking the sun or moon during eclipses or sunset, which fits the definition of pareidolia.",ollama-hermes3:8b
a12d,Eclipses: birds,Birds overshadow the luminaries,Птицы затмевают светила,A bird or birds attack or shade the Sun or the Moon during an eclipse or at the sunrise and sunset,Birds attack the sun or moon during an eclipse (cover them with wings) or (*) cover the sun during sunrise or sunset,Птицы нападают на солнце или луну во время затмения (закрывают их крыльями) или (*) закрывают солнце во время восхода или захода,True,PERCEPTION,celestial,0.9,"The motif describes perceiving a figure (bird) in a natural feature (the sun or moon), which is classic pareidolia.",ollama-hermes3:8b
