motif_id,raw_first300,anon_first300
g6a,"Кабилы: : Frobenius 1921a, № 50 [агелит (начальник селения) требует купить 1) тень, 2) ложных мулов, иначе отрубит всем головы; дочь старика покупает шляпу и деревянные туфли ходить по грязи; агелит требует отгадать, что такое дерево с 12 ветвями, на каждой по 30 листьев, на каждом листе 5 семян; де",": Frobenius 1921a, № 50 [агелит (начальник селения) требует купить 1) тень, 2) ложных мулов, иначе отрубит всем головы; дочь старика покупает шляпу и деревянные туфли ходить по грязи; агелит требует отгадать, что такое дерево с 12 ветвями, на каждой по 30 листьев, на каждом листе 5 семян; девушка: э"
i98b,"Русские: : Потанин 1883 [Нижегород.: Утичье гнездо; Вятск.: Птичье гнездо]: 730; Рут 1976 [Утиное гнездо: Псковская, Тверская, Орловская, Амурская; Утичье Гнездо: Архангельская, Пермская, Сибирь]: 35; 1987 [Утиное (Уточье, Утичье) Гнездо – Орловская, Псковская, Тверская, Архангельская, Сибирь; Птичь",": Потанин 1883 [Нижегород.: Утичье гнездо; Вятск.: Птичье гнездо]: 730; Рут 1976 [Утиное гнездо: Псковская, Тверская, Орловская, Амурская; Утичье Гнездо: Архангельская, Пермская, Сибирь]: 35; 1987 [Утиное (Уточье, Утичье) Гнездо – Орловская, Псковская, Тверская, Архангельская, Сибирь; Птичье гнездо "
m91b,"Тупури: [голубь и земляная белка посеяли бобы; собрал 30 корзин, а белка лишь две; сказала голубю, что на базаре в хорошей цене не бобы, а зола от бобов; голубь сжег свои бобы, погрузил золу на телеги и повез на базар; его обсмеяли; по пути домой голубь попросил портного сшить ему одежду; денег дал ","[голубь и земляная белка посеяли бобы; собрал 30 корзин, а белка лишь две; сказала голубю, что на базаре в хорошей цене не бобы, а зола от бобов; голубь сжег свои бобы, погрузил золу на телеги и повез на базар; его обсмеяли; по пути домой голубь попросил портного сшить ему одежду; денег дал мало, по"
f60,"Моно: (о-ва Шортланд) [Porana приходил лечить заболевших женщин, на самом деле совокуплялся с ними; мужчины убили его в мужском доме, пуская ветры (это для П. смертельно)

вирам: [Duviar видит, как две девушки купаются в его ручье; чтобы наказать их, кладет кусочек сахарного тростника в волшебный кр","(о-ва Шортланд) [Porana приходил лечить заболевших женщин, на самом деле совокуплялся с ними; мужчины убили его в мужском доме, пуская ветры (это для П. смертельно)

[Duviar видит, как две девушки купаются в его ручье; чтобы наказать их, кладет кусочек сахарного тростника в волшебный крокодиловый зу"
i34,": Кучин [тесть-Медведь требует, чтобы Джатеакуойнт принес материал сделать древко стрелы от дерева, разбрасывающего вокруг острые щепки; достал смолу с дерева, брызжущего кипящей смолой; в обоих случаях Д. успокаивает деревья, плюнув на них

: Тилламук [герой на небе хочет жениться на дочери старика","Кучин [тесть-Медведь требует, чтобы Джатеакуойнт принес материал сделать древко стрелы от дерева, разбрасывающего вокруг острые щепки; достал смолу с дерева, брызжущего кипящей смолой; в обоих случаях Д. успокаивает деревья, плюнув на них

Тилламук [герой на небе хочет жениться на дочери старика-Гро"
l90a,"Венгры: [в 7 лет сын бедняка стал сильным юношей; получил имя Прекрасный Andr&#225;s (А.), отправился странствовать, остановился в пещере; золотоперый пеликан принес ему письмо от R&#243;zsa, королевы фей: пусть придет, она хочет убедиться, что он так красив, как на своем изображении; А. долго шел з","[в 7 лет сын бедняка стал сильным юношей; получил имя Прекрасный Andr&#225;s (А.), отправился странствовать, остановился в пещере; золотоперый пеликан принес ему письмо от R&#243;zsa, королевы фей: пусть придет, она хочет убедиться, что он так красив, как на своем изображении; А. долго шел за пелика"
f83a,"Португальцы: [лиса оказывается в ловушке, заяц ее насилует

испанцы: (

Галисия: , Сьюдад-Реаль) [лиса приходит к зайчатам, просит передать их отцу, что съест его; заяц бежит в чащу, лиса за ним, застревает между стволами, заяц ее насилует

испанцы: (Эстремадура) [кролик приходит к лисятам, когда ли","[лиса оказывается в ловушке, заяц ее насилует

(

, Сьюдад-Реаль) [лиса приходит к зайчатам, просит передать их отцу, что съест его; заяц бежит в чащу, лиса за ним, застревает между стволами, заяц ее насилует

 [кролик приходит к лисятам, когда лисы нет дома, и просит передать их матери, что он соби"
k63,"Миньонг: [в хижине охотника кто-то готовит; он просит Doini-Pollo (Солнце-Месяц) сделать так, чтобы он увидел, кто это; застает девушку Wiyu (Epom-Wiyu); та готова за него выйти, но сперва ее братья принесут подарки; дом наполняют облака, делается темно, девушка бросает мясо и пиво под крышу, ее бра","[в хижине охотника кто-то готовит; он просит Doini-Pollo (Солнце-Месяц) сделать так, чтобы он увидел, кто это; застает девушку Wiyu (Epom-Wiyu); та готова за него выйти, но сперва ее братья принесут подарки; дом наполняют облака, делается темно, девушка бросает мясо и пиво под крышу, ее братья едят "
k32h1,"Португальцы: [около леса жили три сестры, любили друг друга; рядом жили ведьма с дочерью; ведьма подговорила младшую дать старшим кориандра и те превратились в быков; король увидел младшую и женился; ведьма вонзила ей в голову две булавки, королева превратилась в голубку, ведьма подменила ее своей д","[около леса жили три сестры, любили друг друга; рядом жили ведьма с дочерью; ведьма подговорила младшую дать старшим кориандра и те превратились в быков; король увидел младшую и женился; ведьма вонзила ей в голову две булавки, королева превратилась в голубку, ведьма подменила ее своей дочерью; та ск"
h50,"Мангарева: [Tiki сделал из земли первую женщину Hine-one (Земля-дева); взял ее в жены; у них дочь Taiki-te-keukeu; беременная Х. спустилась в нижний мир, стала его хозяйкой, родила близнецов Kuri и Kuro; полная луна - символ Хине-оне, т.к., уходя от Т., она была беременна; Т. решил сойтись с дочерью","[Tiki сделал из земли первую женщину Hine-one (Земля-дева); взял ее в жены; у них дочь Taiki-te-keukeu; беременная Х. спустилась в нижний мир, стала его хозяйкой, родила близнецов Kuri и Kuro; полная луна - символ Хине-оне, т.к., уходя от Т., она была беременна; Т. решил сойтись с дочерью; поселился"
