motif_id,motif_base,name,description,n_traditions,pareidolic,perceptual_class,perceptual,perceptual_v2,is_celestial
b67_7,b67,Tree turns to rocks,People fell giant tree. The fallen tree and/or its stump turns into mountain(s) or rocks,9,True,,False,False,False
b75b_7,b75b,Sounds of the time of creation: a creaking of trees,"Man pushes his mother-in-law or his wife into a tree hollow, she turns into the creaking of trees or into echo",6,False,,False,False,False
b76_3,b76,Waves turn into mountains,Waves of the sea petrified and turned into dry land with mountain chains,10,True,,False,False,False
b84_7,b84,Fungi and excrescences (ogress transformed),"A female demonic person, usually while she is pursuing a man, dies and her flesh turns into objects that are found on trees, like fungi, pitch, fruits or nuts",9,False,,False,False,False
f21_5,f21,"Woman turns into a tree, penis captured","Man copulates with a woman who turns into tree or rock, his penis is captured in it",5,True,,False,False,False
f32_10,f32,Tree fruits for a woman,"Baby child or children who come out of mother's womb and turn themselves into adult men or a snake who lives in her womb climb up a tree and help the woman to gather fruits, bark, edible fungi, etc. Usually the child who is a snake returns to his mother's womb and adult man turns back into a baby; or the girl's love affair with a snake is discovered when her father climbs a tree to gather fruits for her",29,False,,False,False,False
g12_3,g12,Tree is a person,A giant tree (often with water inside it or with different cultivated plants on its branches) grows out of the human body or is transformed person,4,False,,False,False,False
k89b_10,k89b,Brother abandoned in a tree,"A girl becomes separated with her brothers (or brother) who die, remain in a tree, on a hill, ascend to the sky, etc. After being happily married, the girl once again meets her brothers who have acquired a non-human nature",11,True,,False,False,False
m9a_10,m9a,Transformed into tree-frog,Person who sucks honey greedily from a tree hollow and/or is stuck in it turns into tree-frog,12,False,,False,False,False
m13a_10,m13a,Transformed into stone,God agrees or suggests to fulfill a demand of a man. As a result the latter is transformed into a stone,9,False,,False,False,False
