motif_id,motif_base,name,description,n_traditions,pareidolic,perceptual_class,perceptual,perceptual_v2,is_celestial,pc_class,pc_subtype,pc_engine
a1_1,a1,The old sun,"Another sun, usually less benevolent and/or powerful, existed before the present one",44,True,,False,False,True,MENTION,celestial,rule
a2a_1,a2a,Several suns burn the earth,"The world was (almost) burned when several suns had (will) appear(ed) simultaneously. (Texts with ""Moon was equal to Sun"" without ""the burned earth"" motif not mentioned)",75,True,,False,False,True,MENTION,celestial,rule
a2b_1,a2b,Extra suns and moons annihilated,Other suns or moons besides present ones had been in the sky and were later annihilated,65,True,,False,False,False,MENTION,celestial,rule
a2b1_1,a2b1,The last sun,"Two or more suns shine in the sky. When the extra suns had been annihilated, there was a risk of the last one being destroyed too",19,True,,False,False,True,MENTION,celestial,rule
a2c_1,a2c,Extra suns are children of the present one,Extra suns who almost burned or could burn the world are children of the present one,19,False,,False,False,False,MENTION,celestial,rule
a2d_1,a2d,Suns of the other worlds,Different suns illuminate different worlds or will appear successively in the future,14,False,,False,False,False,MENTION,celestial,rule
a3_1,a3,Male sun and female moon,"The Moon is female or bisexual, the Sun is male",325,True,,False,False,True,MENTION,celestial,rule
a4_1,a4,Female sun,"The Sun is female, the Moon is male or (much more rare) also female",209,True,,False,False,True,MENTION,celestial,rule
a4a_1,a4a,The Sun dazzles eyes,"Modest Sun-woman dazzles (usually pricks with needles, i.e. the sun rays) eyes of those who look at her",11,True,,False,False,True,MENTION,celestial,rule
a4b_1,a4b,The Sun is afraid of the night,"Being afraid of the night, the Sun decided to travel across the sky only at the day time",5,True,,False,False,True,MENTION,celestial,rule
a5_1,a5,The Sun and the Moon are males,"The Moon is male, the Sun is also male or (much more rare) asexual",302,True,,False,False,True,MENTION,celestial,rule
a5a_1,a5a,The Sun created from the Moon’s swaddling clothes,The younger brother (usually the Sun) is created from urine and swaddling clothes of the elder brother (usually the Moon).,8,True,,False,False,True,MENTION,celestial,rule
a6_1,a6,The Sun and the Moon are females,Both the Sun and the Moon are considered to be females (incl. cases when the gender is not directly specified but both emerge from parts of the body of a female person),48,True,,False,False,True,MENTION,celestial,rule
