motif_id,class,confidence,substrate,reason
a1,METAMORPHOSIS,high,sky,"The story implies a prior sun *was* a being that has been replaced, fitting the transformation motif even if the details are sparse."
a10,METAMORPHOSIS,high,animal,"The sun *acquires* eyes from an animal, implying a transformation of the animal part into a solar feature, rather than simply perceiving a face in the sun."
a11a,CELESTIAL_PAREIDOLIA,high,sky,"The motif explicitly describes perceiving eyes within the sun and moon, which are sky phenomena."
a11b,CELESTIAL_PAREIDOLIA,high,sky,"The description explicitly states a perceived feature (one eye, or blindness) *in* a celestial body (Sun or Moon), fitting the definition of visually perceiving a figure in a sky phenomenon."
a11c,CELESTIAL_PAREIDOLIA,high,sky,"The story directly attributes qualities (eyes) to celestial bodies (Sun and Moon) and explains their differing brightness based on a perceived feature of a monster, fitting the visual perception of fi"
a12,CELESTIAL_PAREIDOLIA,high,sky,"The motif describes a perceived attack *on* celestial bodies, directly relating to visual phenomena in the sky and implying a figure/monster is interacting with them."
a12a,CELESTIAL_PAREIDOLIA,high,sky,"The motif describes a visual perception of an animal *attacking* a celestial body (Sun or Moon), directly fitting the definition of visually perceiving a figure in a sky phenomenon."
a12b,CELESTIAL_PAREIDOLIA,high,sky,"The motif describes a creature visually attacking a celestial body (Sun or Moon), directly perceiving a figure in a sky phenomenon."
a12c,CELESTIAL_PAREIDOLIA,high,sky,"The motif describes a visual perception of creatures attacking celestial bodies (Sun/Moon), fitting the definition of seeing figures in sky phenomena."
a12d,CELESTIAL_PAREIDOLIA,high,sky,"The motif describes a visual perception of birds interacting with celestial bodies (Sun/Moon), fitting the definition of seeing figures in a sky phenomenon."
a12e,CELESTIAL_PAREIDOLIA,high,sky,"The myth directly attributes a visual phenomenon in the sky (lunar eclipse) to the action of a creature perceived as *on* the moon's surface, thus fitting the definition of visually perceiving a figur"
a12f,CELESTIAL_PAREIDOLIA,high,sky,"The eclipse is directly interpreted as a figure (the creditor) acting upon a celestial body (the Sun or Moon), representing a visual perception within a sky phenomenon."
a13a,ANTHROPOMORPHIC_ANIMAL,high,animal,"The raven acts with intent and agency, performing a deliberate act of theft, thus embodying personhood."
a13a1,ANTHROPOMORPHIC_ANIMAL,high,animal,"Raven acts as a person, employing trickery to obtain the Sun, demonstrating personified intent and agency."
a13b,CELESTIAL_PAREIDOLIA,high,sky,"The myth directly attributes agency (shading) to ants affecting a celestial body (the Sun), constituting a visual perception of action in the sky."
a14,CELESTIAL_PAREIDOLIA,high,sky,"The description explicitly states a relationship *between* the Sun and Moon, framing them as interacting entities perceived in the sky, which is a core element of celestial pareidolia."
a15,CELESTIAL_PAREIDOLIA,high,sky,"The eclipse is described as a crossing of paths *in the sky*, implying a perceived interaction of celestial bodies as figures."
a16,CELESTIAL_PAREIDOLIA,high,sky,"The myth describes entities attempting to harm the Sun and/or Moon, implying perceived threats *within* the celestial bodies' journey across the sky."
a17,NATURE_SPIRIT_PERSONIFICATION,high,sky,"The Sun is described as performing a human action (relaxing), implying a personality without a specific pareidolic trigger for that personification."
a18,CELESTIAL_PAREIDOLIA,high,sky,"The motif describes perceiving a boat *in* the sky (Sun/Moon's path), fitting the visual perception of a pattern in a celestial phenomenon."
a19a,CELESTIAL_PAREIDOLIA,high,sky,"The sun's movement is interpreted as being *caused* by animals visually perceived as 'pulling' it across the sky, fitting the definition of visually perceiving a figure in a sky phenomenon."
a19b,NATURE_SPIRIT_PERSONIFICATION,high,sky,"The Sun is personified as choosing animals/people to carry it, representing a personality and agency without a specific pareidolic trigger in nature."
a20,METAMORPHOSIS,high,sky,"The core of the myth explains how two beings *became* the sun and moon, transforming into celestial bodies—this prioritizes METAMORPHOSIS over simply being figures *in* the sky."
a21,METAMORPHOSIS,high,sky,"The myth describes celestial bodies originating from a deliberate act of throwing, implying a transformation from something else *into* the sun/moon."
a22,METAMORPHOSIS,high,sky,"The core of the myth is the transformation of people *into* celestial bodies, prioritizing this over simple visual resemblance."
a22a,METAMORPHOSIS,high,sky,"The core of the myth is the transformation of people *into* celestial bodies, specifically explaining their current form as a result of that change."
a22b,METAMORPHOSIS,high,sky,"The core of the myth describes a person transforming into a celestial body (Sun, Moon, or star), explaining its characteristics – specifically, the lack of warmth – as a result of the transformation."
a22c,NATURE_SPIRIT_PERSONIFICATION,high,sky,"The sun is treated as a being requiring propitiation (sacrifice) to perform its function, without a specific visual or auditory trigger being described."
a22d,METAMORPHOSIS,high,sky,"The core of the myth describes people *becoming* a celestial pattern, fulfilling the definition of transformation into a natural object."
a23,NATURE_SPIRIT_PERSONIFICATION,high,sky,"The story centers on ancestors selecting a being *to be* the Sun, personifying it as a role or office rather than perceiving a figure *in* the sun itself."
a23a,PURE_NARRATIVE,high,none,"The story focuses on a contest and outcome, lacking any element of perceived figures in nature or personification of natural phenomena."
a23b,PURE_NARRATIVE,high,none,"The description focuses on a contest and lacks any element of perceived figures in nature, transformation, or personification of natural elements."
