motif_id,n_ru_hits,n_en_hits,ru_hits,en_hits,name_en
a1,1,0,саванна,,The old sun
a12,1,0,пустыня,,Eclipses: a monster’s attack
a13a,3,0,тундре | тундру | тундры,,Raven hides the Sun
a13a1,3,0,тундре | тундру | тундры,,Raven obtains the Sun
a16,1,0,мангрового,,Dangers along the Sun’s way
a21,4,0,пустынным | тундре | тундру | тундры,,Luminaries thrown up into the sky
a23,2,0,прерии | саванна,,Elections of the Sun to be
a23a,2,0,степи | степь,,Who will see the Sun first?
a24,1,0,степной,,The first sunrise
a24a,1,0,степной,,The first day or night: transformed into spirits
a27,1,0,саванна,,Crowns of the Sun and Moon
a29,1,0,тайги,,The Sun and a demon compete for the hero
a29a,1,0,тайги,,Torn in half by two wives
a2a,3,0,пустыню | степи | тайгу,,Several suns burn the earth
a2b,1,0,тайгу,,Extra suns and moons annihilated
a2b1,1,0,степи,,The last sun
a2c,1,0,пустыню,,Extra suns are children of the present one
a3,5,0,пустыню | степные | степь | тундре | тундровые,,Male sun and female moon
a32b,1,0,прерии,,The Moon toad
a32d,3,0,тайге | тундре | яранги,,Man in the Moon
a32f,1,0,тайге,,Water-carrier in the Moon
a37,2,0,степи | тайгу,,The Sun is attacked
a37a,1,0,степи,,Shooter hides underground
a37b,1,0,степи,,Shooter’s thumb cut off
a38,1,0,степные,,The Sun caught in snare
a38b,1,0,степные,,Mouse gnaws snare open
a4,5,0,мерзлоты | пустыни | степью | тайги | тундровые,,Female sun
a44,2,0,тайге | тайгу,,Moon the protector
a47,1,0,саванна,,"Three horseman (the Sun, the Moon and the night)"
a5,1,0,саванны,,The sun and the moon are males
a8a,1,0,степи,,"The Sun, the Moon and the star: released by the hero"
b101,1,0,степные,,Slashes on birch bark
b108,0,1,,snow,Person turns into snow
b109,1,0,тайге,,Person turns into bear
b110,3,0,пустынным | степи | степь,,"If by back, the ravines, if by head the red flowers"
b110a,0,1,,snow,Falling person turns into snow and wind
b113,1,0,ледник,,Bottoms of women and knees of men
b114,1,0,саванне,,Old person turns into anteater
b116,1,0,степи,,The first book eaten up
b116a,1,0,степи,,Knowledge preserved in the stomach
b116b,1,0,степи,,Sacred book gets wet
b13a,1,0,саванну,,Stream follows person
b15,1,0,мерзлота,,River from woman’s body
b16c,1,0,степные,,Salt-grinding mill
b18,1,0,саванне,,Day in container
b26,1,0,тундру,,Man joins wild animals
b28,3,0,прерии | саванна | саванне,,Travelling transformer
b28d,1,0,прерии,,Unrecognized Transformer
b28d1,1,0,прерии,,"Man transformed into deer, his knives into antlers"
b28e,1,0,прерии,,The Moon organizes the world
b2a,7,0,ледников | пустыни | саваннах | степные | степь | тундре | тундровые,,The female earth
b2d,2,0,ледников | степь,,Marriage of the sky and the earth
b2e,1,0,пустыни,,The male earth
b3,0,1,,swamp,A primeval swamp
b32,1,0,саванну,,Women turn into fish
b33,2,0,пустыне | степи,,Mother of wind
b33e,0,1,,freeze,If February were like January
b33f,1,0,степи,,Night that unwinds her yarn
b36,1,0,саванн,,"Color, voice, form: one divided between many"
b36a,1,0,тундровые,,Bathing in blood
b36b,1,0,саванн,,Birds obtain their voices
b36c,1,0,степные,,Fat animals
b37,1,0,степные,,Color of birds
b38c,1,0,тундровые,,Tail base of the loon
b3a,5,0,пустынная | пустыня | степные | тундровый | тундры,,Primeval waters
b3b,3,0,саваннах | саванны | степные,,Earth grows big
b3e,3,0,пустыни | саваннах | степные,,Earth falls on waters
b42,3,0,пустыни | тайги | тундре,,Cosmic hunt
b42b,3,0,тайги | тундре | тундровые,,Sky hunters pursue an ungulate
b42f,2,0,тундра | тундре,,Ursa major is an ungulate
b42h,1,0,пустыни,,"The Belt of Orion is the game, other star is the hunter"
b42h1,1,0,пустыни,,Hunter's arrow hit the animal
b42k,1,0,тундровые,,Cosmic hunt and the Pleiades
b42l,1,0,тундре,,"Animal is the dipper, hunters are the handle"
b42m1,1,0,тундре,,"Yurak, Selkup and Tungus"
b42mn,1,0,тайги,,One hunter chases the sky elk
b42n,1,0,саванны,,Orion is one person
b42p,1,0,арктический,,Ursa major is a bear
b45,5,0,ледник | тундра | тундре | тундру | тундры,,Marriage of winter and summer
b48,1,0,степь,,Predators become herbivorous
b48a,2,0,тайге | тундру,,Other creatures’ flesh
b50,3,0,степи | степь | тундровых,,Bloodsuckser’s lie
b55,1,0,саванну,,Leaves are fish
b57,1,0,степные,,Blood reddens world
b57a,1,0,степные,,Red sunset contains a message
b58,1,0,саванну,,Wild turkey’s red neck
b5a,1,0,тундровый,,Two creators: a dialogue
b5b,1,0,саванна,,The universal mother
b60,1,0,тайгу,,Offended children abandon parents
b64,1,0,тайге,,The bony fish
b64a,1,0,тайге,,Small bones: war between fish and birds
b64d,2,0,тайге | тундровые,,Bones are arrows
b68,1,0,тайге,,The giant grouse
b70,2,0,тайге | тундровые,,Ears of hare
b71,2,0,арктика | степные,,Aurora borealis
b72,2,0,тундре | тундровые,,The thirsty cuckoo
b72a,1,0,тайгу,,"Mother, child and swans"
b72b,1,0,тайгу,,A girl flies away as a bird
b74,1,0,тайге,,The red-eyed wood-grouse
b74a,1,0,ярангу,,Red rags on eyelids
b75a,2,0,прерии | тайге,,Sounds of the time of creation: a woman's voice (echo)
b77,3,0,ледников | пустынь | саваннах,,Primeval sky close to earth
b77a,1,0,саваннах,,Giant pushed the sky up
b78,0,1,,snow,Shaking bed makes snowfall
b79,1,0,ледники,,Cosmic egg
b7b,1,0,пустыня,,Waters from broken pot
b82,5,0,пустыне | пустыня | степные | степь | тундровые,,The white raven
b83,1,0,степь,,Bag too heavy to be lifted up
b87,2,0,тундра | тундре,,Alcor
b87a,1,0,тундре,,Alcor is a dog
b9,1,0,саванна,,Water in the tree trunk
b97,1,0,степные,,Grateful person makes the bird pretty
b99,1,0,саванне,,Turned into nest of insects
c1,1,0,саванны,,Reversal of cosmic levels
c12b,2,0,пустыне | тайги,,People descend from a dog
c14,1,0,ледников,,Monsters destroy people
c16,3,0,степь | тайги | тайгу,,Processed objects turn into animals
c18,4,0,пустыню | тундре | тундру | тундры,,Dance for the hidden Sun
c19,8,0,мерзлоты | пустыню | саванне | степи | степные | тундре | тундру | тундры,,Acquisition of the sun
c2,1,0,саванна,,Deluge and conflagration combined
c23,1,0,пустынный,,Tree eclipses sky-light
c27,1,2,тундре,frozen | ice,A horn in the ice
c2a,2,0,саванна | саванну,,Conflagration of the woodpecker
c2b,1,0,саванну,,The burned Moon
c30a,1,0,пустыне,,A pound of flesh
c31,1,0,степи,,The wise hedgehog (cosmology)
c31a,1,0,степи,,Sun and Moon promised to Devil
c34a,0,2,,marsh | sand,Buried in sand
c35,1,0,пустыню,,Cosmic marriage cancelled
c35a,1,0,степи,,Wise adviser punished
c38,1,0,тундру,,People will come soon
c39,1,1,степи,ice,The repaired sky
c39a,0,1,,ice,Heaven repaired with ice
c5a,3,0,пустыне | пустыня | степные,,Bird-scouts
c5b,1,0,степные,,Animal-scouts
c6,4,0,степные | тундровые | тундровый | тундры,,The diver
c6b,1,0,степные,,The diver is muskrat or beaver
c6c,3,0,тундровые | тундровый | тундры,,The diver is a bird
c6c1,2,0,тундровый | тундры,,Birds: successful and unsuccessful divers
c6d,4,0,степные | тундровые | тундровый | тундры,,Earth from the lower world (>the earth-diver)
c6i,1,0,тундровый,,Dirt stuck to body turns into the earth
c8,3,0,ледников | саваннах | тайге,,The primeval couple of siblings
c8a,1,1,ледников,bamboo,Grinding stones match
d1,1,0,тундровые,,Female spirit of fire
d10,1,0,саванна,,Fire sticks are two persons
d12,1,0,саванну,,Food baked in the sun
d13d,1,0,тайге,,To make hidden woman laugh
d13f,2,0,саванна | саванну,,Laughter and fire
d13g,1,0,тундровые,,Meet seen on teeth
d13h,1,0,арктика,,The dead should not laugh
d13i,2,0,тайгу | тундровые,,Broken tooth
d13i1,1,0,тундровые,,"Showing his teeth, person betrays himself"
d1b,2,0,тундровые | тундру,,Male spirit of fire
d4a,3,0,пустыню | саванна | саванну,,Theft of fire
d4f,1,0,саванну,,Beaver or fish let themselves to be roasted
d4o,2,0,пустыню | саванна,,Fire stealer pretends to be wet and cold
d4p,0,1,,tropical,Parrot or parakeet obtains fire
d5,1,0,саванна,,Woman as the owner of the fire
d5a,1,0,саванна,,Fire in woman’s genitals
d7,1,0,саванну,,Fire and toad
e11,6,0,пустыни | степи | тундровые | яранге | яранги | ярангу,,The burned skin
e15,0,1,,canoe,Ducks and canoes
e15a,0,1,,canoe,Breast bone as a canoe model
e15b,0,1,,canoe,Birds sew canoe covering
e16,0,1,,canoe,Paddles edgewise
e1b,2,0,арктика | тундре,,Person of unfit materials
e1c,1,0,тундре,,Person of excrements
e2,2,0,пустыни | саванне,,People made for a test
e30,1,0,ярангу,,The make-believe spouse of wood
e30a,1,0,ярангу,,Make-believe spouse replaced with alive person
e31a,3,0,пустыне | пустыни | степи,,Creators and rescuers of a girl
e31a1,3,0,пустыне | пустыни | степи,,Three men construct a woman which becomes alive: to whom does she belong?
e31c,2,0,пустыне | пустыня,,Rescuers of an abducted girl
e32,1,0,степь,,People born from trees
e35,1,0,саванна,,Webbed fingers
e36,1,0,тундровый,,Hard covering of the body
e39,1,0,тайге,,Pig ancestor
e5a,4,0,джунглях | пустыню | саванна | степь,,Mankind ascends from the underworld
e6,1,0,саванна,,Because of a woman worlds become isolated
e6a,0,1,,frozen,Way across waters
e8a,0,1,,palm,Women from coconuts
e9,12,0,пустыне | пустыню | степи | степной | степные | степь | тайге | тайги | тундровые | яранге | яранги | ярангу,,The mysterious housekeeper
e9a,1,0,тайгу,,Fox-wife
e9c,1,0,тундре,,"Elephant-, buffalo-, elk-wife"
e9d,4,0,тайги | яранге | яранги | ярангу,,Dog-wife
e9e,4,0,степи | тайги | яранги | ярангу,,Puppy as a reward
e9h,3,0,пустыни | пустыню | степной,,Dove-wife
e9i,2,0,пустыне | степи,,Swan-wife
e9j,1,0,степь,,Monkey-wife
e9k,1,0,саванна,,Spouse is honey (bee)
f12,1,0,саванну,,Man kills his wife with her lover’s penis
f13,1,0,саванны,,Red penis of primates
f17,2,0,саванна | тундровый,,Misplaced genitalia
f18a,1,0,степные,,Long penis after prohibited sex
